hearing_id,date,year,congress,chamber,hearing_title,committee,committee_short,committee_type,majority,n_witnesses,n_government,n_business_services,n_nonprofit,n_science,n_alternative,n_carbonintensive,n_fossilfuel,n_other,per_government,per_business_services,per_nonprofit,per_science,per_alternative,per_carbonintensive,per_fossilfuel,per_other,n2_witnesses,n2_contrarian,n2_business_services,n2_nonprofit,n2_science,n2_government,n2_environmental,n2_alternative,n2_carbonintensive,n2_fossilfuel,n2_other,per2_contrarian,per2_business_services,per2_nonprofit,per2_science,per2_government,per2_environmental,per2_alternative,per2_carbonintensive,per2_fossilfuel,per2_other,n2_denialist,committee_code,id,name,maj_min,rank_within_party,party_code,date_of_assignment,date_of_termination,senior_party_member,committee_seniority,committee_period_of_service,committee_status_at_end_of_this_congress,committee_continuity_of_assignment_in_next_congress,appointment_citation,state_icpsr,cd_code,stab,notes,Party,CID,last_name,first_name,birthday,gender,bioguide_id,govtrack_id,cc_fossilfuel,cc_fossilfuel_noUSCAP,cc_total,per_cc_fossilfuel,per_cc_fossilfuel_noUSCAP,halfyear,lobbying_fossilfuel,lobbying_total,per_lobbying_fossilfuel,lobbying_fossilfuel_noUSCAP,per_lobbying_fossilfuel_noUSCAP
108hhrg88427,2003-07-08,2003,108,House,The Clear Skies Initiative: A Multipollutant Approach to the Clean Air Act,House Committee on Energy and Commerce,Energy and Commerce,Key committee,R,1,1,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,128,94679,"Tauzin, W. J. (Billy)",1,1,200,2003-01-08,2005-01-03,12,5,4,1,0,H. Res. 24,45,3,LA,"Resigned as Chairman, H669, 2/26/2004 (effective 2/16/2004), and reranked (H.Res. 539, 2/26/2004) after Mr. Barton of Texas",R,N00005372,Tauzin,William,1943-06-14,M,T000058,400397,160495,142995,822461,19.513995192477214,17.386234727239348,H2,71481409,1066030879,6.705378841094527,7555591,0.7087591127836363
108hhrg88427,2003-07-08,2003,108,House,The Clear Skies Initiative: A Multipollutant Approach to the Clean Air Act,House Committee on Energy and Commerce,Energy and Commerce,Key committee,R,1,1,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,128,15006,"Bilirakis, Michael",1,2,200,2003-01-28,2005-01-03,0,10,2,1,1,H. Res. 33,43,9,FL,NA,R,N00002982,Bilirakis,Michael,1930-07-16,M,B000463,400028,38300,31800,717279,5.339623772618466,4.433421304680605,H2,71481409,1066030879,6.705378841094527,7555591,0.7087591127836363
108hhrg88427,2003-07-08,2003,108,House,The Clear Skies Initiative: A Multipollutant Approach to the Clean Air Act,House Committee on Energy and Commerce,Energy and Commerce,Key committee,R,1,1,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,128,15085,"Barton, Joe L.",1,3,200,2003-01-28,2005-01-03,0,9,2,1,1,H. Res. 33,49,6,TX,Elected as Chairman by H. Res. 53 2/26/04,R,N00005656,Barton,Joe,1949-09-15,M,B000213,400018,485649,458649,2295416,21.15734141436672,19.981084038797327,H2,71481409,1066030879,6.705378841094527,7555591,0.7087591127836363
108hhrg88427,2003-07-08,2003,108,House,The Clear Skies Initiative: A Multipollutant Approach to the Clean Air Act,House Committee on Energy and Commerce,Energy and Commerce,Key committee,R,1,1,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,128,15446,"Upton, Frederick S.",1,4,200,2003-01-28,2005-01-03,0,7,2,1,1,H. Res. 33,23,6,MI,NA,R,N00004133,Upton,Fred,1953-04-23,M,U000031,400414,54699,45699,998344,5.4789731795853935,4.577480307389036,H2,71481409,1066030879,6.705378841094527,7555591,0.7087591127836363
108hhrg88427,2003-07-08,2003,108,House,The Clear Skies Initiative: A Multipollutant Approach to the Clean Air Act,House Committee on Energy and Commerce,Energy and Commerce,Key committee,R,1,1,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,128,15627,"Stearns, Clifford B.",1,5,200,2003-01-28,2005-01-03,0,6,2,1,1,H. Res. 33,43,6,FL,NA,R,N00002782,Stearns,Clifford,1941-04-16,M,S000822,400388,52927,42927,626360,8.449932945909701,6.853406986397599,H2,71481409,1066030879,6.705378841094527,7555591,0.7087591127836363
108hhrg88427,2003-07-08,2003,108,House,The Clear Skies Initiative: A Multipollutant Approach to the Clean Air Act,House Committee on Energy and Commerce,Energy and Commerce,Key committee,R,1,1,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,128,15604,"Gillmor, Paul E.",1,6,200,2003-01-28,2005-01-03,0,6,3,1,1,H. Res. 33,24,5,OH,NA,R,N00003660,Gillmor,Paul,1939-02-01,M,G000210,400150,43682,40682,394765,11.065317340696364,10.305371550162755,H2,71481409,1066030879,6.705378841094527,7555591,0.7087591127836363
108hhrg88427,2003-07-08,2003,108,House,The Clear Skies Initiative: A Multipollutant Approach to the Clean Air Act,House Committee on Energy and Commerce,Energy and Commerce,Key committee,R,1,1,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,128,29397,"Greenwood, James C.",1,7,200,2003-01-28,2005-01-03,0,6,2,1,0,H. Res. 33,14,8,PA,NA,R,N00001519,Greenwood,James,1951-05-04,M,G000439,400161,15700,15700,728349,2.1555600405849393,2.1555600405849393,H2,71481409,1066030879,6.705378841094527,7555591,0.7087591127836363
108hhrg88427,2003-07-08,2003,108,House,The Clear Skies Initiative: A Multipollutant Approach to the Clean Air Act,House Committee on Energy and Commerce,Energy and Commerce,Key committee,R,1,1,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,128,15601,"Cox, C. Christopher",1,8,200,2003-01-28,2005-01-03,0,5,2,1,2,H. Res. 33,71,48,CA,NA,R,N00007124,Cox,C.,1952-10-16,M,C000830,400083,27616,22616,1082295,2.551614855469165,2.0896336026684037,H2,71481409,1066030879,6.705378841094527,7555591,0.7087591127836363
108hhrg88427,2003-07-08,2003,108,House,The Clear Skies Initiative: A Multipollutant Approach to the Clean Air Act,House Committee on Energy and Commerce,Energy and Commerce,Key committee,R,1,1,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,128,99342,"Deal, Nathan",1,9,200,2003-01-28,2005-01-03,0,5,2,1,1,H. Res. 33,44,10,GA,NA,R,N00002610,Deal,Nathan,1942-08-25,M,D000168,400099,30760,25760,373425,8.23726317198902,6.898306219455044,H2,71481409,1066030879,6.705378841094527,7555591,0.7087591127836363
108hhrg88427,2003-07-08,2003,108,House,The Clear Skies Initiative: A Multipollutant Approach to the Clean Air Act,House Committee on Energy and Commerce,Energy and Commerce,Key committee,R,1,1,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,128,29548,"Burr, Richard M.",1,10,200,2003-01-28,2005-01-03,0,5,2,1,0,H. Res. 33,47,5,NC,NA,R,N00002221,Burr,Richard,1955-11-30,M,B001135,400054,411477,360477,9006207,4.568815706767566,4.002539581868372,H2,71481409,1066030879,6.705378841094527,7555591,0.7087591127836363
